f5,f6,f7,f8,f9,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,binaryClass
158,107,76,71,94,0,0,37,25,9,105,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
184,96,76,71,94,0,55,24,19,43,44,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
94,129,78,73,94,0,39,25,0,0,0,16,60,0,0,0,0,0,0,2,0,0,0,0,0,0,N
32,141,76,71,94,0,0,0,6,3,0,1,43,33,0,0,0,0,0,0,0,0,0,0,0,0,N
87,99,120,71,94,0,55,24,0,0,0,0,0,0,0,33,24,0,0,0,0,0,0,0,0,0,N
71,97,123,72,96,0,0,44,19,0,0,0,0,0,0,24,33,0,0,0,0,0,0,1,1,0,N
49,88,98,125,98,0,1,2,0,5,41,0,0,0,0,0,7,12,0,0,0,30,9,0,0,0,N
32,120,76,71,94,0,0,3,1,0,0,3,58,0,0,0,0,0,0,0,0,0,0,0,0,0,N
71,77,113,129,94,0,0,0,31,31,0,0,0,0,0,0,0,0,0,49,20,0,0,0,0,0,N
136,108,76,71,94,9,77,0,0,0,28,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
74,77,76,114,114,0,25,37,1,2,0,0,0,0,0,0,0,0,0,0,0,1,37,1,1,0,N
13,77,126,77,94,0,0,0,0,0,0,0,0,0,0,0,0,33,8,0,0,1,1,0,0,0,N
106,77,76,71,94,0,55,37,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
71,79,76,112,113,0,2,0,0,53,9,0,0,0,0,0,0,0,0,0,0,0,36,2,0,0,N
76,134,77,71,94,0,0,5,13,50,0,0,0,57,2,0,0,0,0,0,0,0,0,0,0,0,N
78,79,76,76,156,0,0,2,13,50,5,2,0,0,0,0,0,0,0,0,0,0,0,0,13,22,N
64,78,76,108,130,1,16,32,0,2,5,0,0,0,0,0,0,0,0,0,0,0,14,30,0,0,N
24,94,126,71,94,0,0,6,6,0,0,0,0,0,0,13,44,0,0,0,0,0,0,0,0,0,N
46,100,76,71,94,0,2,1,3,0,9,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
88,80,80,74,100,16,63,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,2,0,N
137,77,76,71,94,28,20,7,70,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
117,77,76,71,94,0,38,49,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
96,123,79,94,94,0,0,46,0,25,20,0,9,35,0,0,0,0,0,0,9,9,0,0,0,0,N
