bedrooms,bathrooms,sqft_living,sqft_lot,waterfront,grade,sqft_above,sqft_basement,yr_built,yr_renovated,lat,long,sqft_living15,sqft_lot15,date_year,date_month,date_day,price
3,1.0,1180,5650,0,7,1180,0,1955,0,47.5112,-122.257,1340,5650,0,10,13,12.309986615445005
3,2.25,2570,7242,0,7,2170,400,1951,1991,47.721000000000004,-122.319,1690,7639,0,12,9,13.195615697878253
2,1.0,770,10000,0,6,770,0,1933,0,47.7379,-122.23299999999999,2720,8062,1,2,25,12.100717685412471
4,3.0,1960,5000,0,7,1050,910,1965,0,47.5208,-122.39299999999999,1360,5000,0,12,9,13.311331132544721
3,2.0,1680,8080,0,8,1680,0,1987,0,47.6168,-122.045,1800,7503,1,2,18,13.1421679654829
4,4.5,5420,101930,0,11,3890,1530,2001,0,47.6561,-122.005,4760,101930,0,5,12,14.018452218287162
3,2.25,1715,6819,0,7,1715,0,1995,0,47.3097,-122.32700000000001,2238,6819,0,6,27,12.458778882573533
3,1.5,1060,9711,0,7,1060,0,1963,0,47.4095,-122.315,1650,9711,1,1,15,12.583998677043747
3,1.0,1780,7470,0,7,1050,730,1960,0,47.5123,-122.337,1780,8113,1,4,15,12.343662665771719
3,2.5,1890,6560,0,7,1890,0,2003,0,47.3684,-122.031,2390,7570,1,3,12,12.685410698175234
3,2.5,3560,9796,0,8,1860,1700,1965,0,47.6007,-122.145,2210,8925,1,4,3,13.403777346275337
2,1.0,1160,6000,0,7,860,300,1942,0,47.69,-122.292,1330,6000,0,5,27,13.056225711649638
3,1.0,1430,19901,0,7,1430,0,1927,0,47.7558,-122.229,1780,12697,0,5,28,12.644330802262578
3,1.75,1370,9680,0,7,1370,0,1977,0,47.6127,-122.045,1370,10208,0,10,7,12.899222326086994
5,2.0,1810,4850,0,7,1810,0,1900,0,47.67,-122.39399999999999,1360,4850,1,3,12,13.180634172318978
4,3.0,2950,5000,0,9,1980,970,1979,0,47.5714,-122.375,2140,4000,1,1,24,13.384729180332174
3,2.0,1890,14040,0,7,1890,0,1994,0,47.7277,-121.962,1890,14018,0,7,31,12.886643575525625
4,1.0,1600,4300,0,7,1600,0,1916,0,47.6648,-122.34299999999999,1610,4300,0,5,29,13.091906231773164
2,1.0,1200,9850,0,7,1200,0,1921,0,47.3089,-122.21,1060,5095,0,12,5,12.149507585033072
3,1.0,1250,9774,0,7,1250,0,1969,0,47.3343,-122.306,1280,8850,1,4,24,12.345838935721968
4,1.75,1620,4980,0,7,860,760,1947,0,47.7025,-122.34100000000001,1400,4980,0,5,14,12.861001210669146
3,2.75,3050,44867,0,9,2330,720,1968,0,47.5316,-122.23299999999999,4110,20336,0,8,26,14.508658238524095
5,2.5,2270,6300,0,8,2270,0,1995,0,47.3266,-122.169,2240,7005,0,7,3,12.560247968016562
2,1.5,1070,9643,0,7,1070,0,1985,0,47.3533,-122.166,1220,8386,0,5,16,12.43996225063003
3,2.25,2450,6500,0,8,2450,0,1985,0,47.3739,-122.17200000000001,2200,6865,0,11,20,12.703816069256568
3,2.0,1710,4697,0,6,1710,0,1941,0,47.3048,-122.21799999999999,1030,4705,0,11,3,12.358798024384122
3,1.75,2450,2691,0,8,1750,700,1915,0,47.6386,-122.36,1760,3573,0,6,26,13.75043962845585
3,1.0,1400,1581,0,8,1400,0,1909,0,47.6221,-122.314,1860,3861,0,12,1,13.410546824147012
3,1.75,1520,6380,0,7,790,730,1948,0,47.695,-122.304,1520,6235,0,6,24,12.989976472461
4,2.5,2570,7173,0,8,2570,0,2005,0,47.7073,-122.11,2630,6026,1,3,2,13.4856180275228
3,2.5,2320,3980,0,8,2320,0,2003,0,47.5391,-122.07,2580,3980,0,11,10,13.271646802771485
2,1.5,1190,1265,0,7,1190,0,2005,0,47.7274,-122.35700000000001,1390,1756,0,12,1,12.54254845357358
4,1.75,2330,5000,0,7,1510,820,1929,0,47.6823,-122.368,1460,5000,0,6,24,13.44081856306726
3,1.0,1090,3000,0,8,1090,0,1929,0,47.6889,-122.375,1570,5080,0,11,10,13.190023895035274
4,2.75,2060,6659,0,7,1280,780,1981,0,47.4276,-122.15700000000001,2020,8720,0,12,3,12.683861515988351
3,2.5,2300,3060,0,8,1510,790,1930,2002,47.6827,-122.31,1590,3264,0,6,13,13.453106376097134
4,1.0,1660,34848,0,5,930,730,1933,0,47.6621,-122.132,2160,11467,0,5,28,13.217675375388819
4,2.0,2360,6000,0,8,2360,0,1904,0,47.6702,-122.36200000000001,1730,4700,0,12,30,13.369225017834633
4,1.0,1220,8075,0,7,890,330,1969,0,47.3341,-122.28200000000001,1290,7800,1,2,13,12.388398368982115
4,2.5,2620,7553,0,8,2620,0,1996,0,47.5301,-122.18,2620,11884,0,6,20,13.312985389904174
4,2.5,2570,5520,0,9,2570,0,2000,0,47.6145,-122.027,2470,5669,0,7,15,13.345508528717259
4,2.25,4220,24186,0,8,2600,1620,1984,0,47.445,-122.34700000000001,2410,30617,0,8,11,13.560619598657233
5,2.75,3595,5639,0,9,3595,0,2014,0,47.6848,-122.016,3625,5639,0,7,7,13.667000108756058
3,1.0,1570,2280,0,7,1570,0,1922,0,47.6413,-122.36399999999999,1580,2640,0,10,28,13.437175577097312
